Num,Image url,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
252,https://img.pokemondb.net/sprites/sword-shield/icon/treecko.png,Treecko,Grass,,310,40,45,35,65,55,70
253,https://img.pokemondb.net/sprites/sword-shield/icon/grovyle.png,Grovyle,Grass,,405,50,65,45,85,65,95
254,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png,Sceptile,Grass,,530,70,85,65,105,85,120
255,https://img.pokemondb.net/sprites/sword-shield/icon/torchic.png,Torchic,Fire,,310,45,60,40,70,50,45
256,https://img.pokemondb.net/sprites/sword-shield/icon/combusken.png,Combusken,Fire,Fighting,405,60,85,60,85,60,55
257,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png,Blaziken,Fire,Fighting,530,80,120,70,110,70,80
258,https://img.pokemondb.net/sprites/sword-shield/icon/mudkip.png,Mudkip,Water,,310,50,70,50,50,50,40
259,https://img.pokemondb.net/sprites/sword-shield/icon/marshtomp.png,Marshtomp,Water,Ground,405,70,85,70,60,70,50
260,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png,Swampert,Water,Ground,535,100,110,90,85,90,60
261,https://img.pokemondb.net/sprites/sword-shield/icon/poochyena.png,Poochyena,Dark,,220,35,55,35,30,30,35
262,https://img.pokemondb.net/sprites/sword-shield/icon/mightyena.png,Mightyena,Dark,,420,70,90,70,60,60,70
263,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon.png,Zigzagoon,Normal,,240,38,30,41,30,41,60
264,https://img.pokemondb.net/sprites/sword-shield/icon/linoone.png,Linoone,Normal,,420,78,70,61,50,61,100
265,https://img.pokemondb.net/sprites/sword-shield/icon/wurmple.png,Wurmple,Bug,,195,45,45,35,20,30,20
266,https://img.pokemondb.net/sprites/sword-shield/icon/silcoon.png,Silcoon,Bug,,205,50,35,55,25,25,15
267,https://img.pokemondb.net/sprites/sword-shield/icon/beautifly.png,Beautifly,Bug,Flying,395,60,70,50,100,50,65
268,https://img.pokemondb.net/sprites/sword-shield/icon/cascoon.png,Cascoon,Bug,,205,50,35,55,25,25,15
269,https://img.pokemondb.net/sprites/sword-shield/icon/dustox.png,Dustox,Bug,Poison,385,60,50,70,50,90,65
270,https://img.pokemondb.net/sprites/sword-shield/icon/lotad.png,Lotad,Water,Grass,220,40,30,30,40,50,30
271,https://img.pokemondb.net/sprites/sword-shield/icon/lombre.png,Lombre,Water,Grass,340,60,50,50,60,70,50
272,https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png,Ludicolo,Water,Grass,480,80,70,70,90,100,70
273,https://img.pokemondb.net/sprites/sword-shield/icon/seedot.png,Seedot,Grass,,220,40,40,50,30,30,30
274,https://img.pokemondb.net/sprites/sword-shield/icon/nuzleaf.png,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60
275,https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png,Shiftry,Grass,Dark,480,90,100,60,90,60,80
276,https://img.pokemondb.net/sprites/sword-shield/icon/taillow.png,Taillow,Normal,Flying,270,40,55,30,30,30,85
277,https://img.pokemondb.net/sprites/sword-shield/icon/swellow.png,Swellow,Normal,Flying,455,60,85,60,75,50,125
278,https://img.pokemondb.net/sprites/sword-shield/icon/wingull.png,Wingull,Water,Flying,270,40,30,30,55,30,85
279,https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png,Pelipper,Water,Flying,440,60,50,100,95,70,65
280,https://img.pokemondb.net/sprites/sword-shield/icon/ralts.png,Ralts,Psychic,Fairy,198,28,25,25,45,35,40
281,https://img.pokemondb.net/sprites/sword-shield/icon/kirlia.png,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50
282,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir.png,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80
283,https://img.pokemondb.net/sprites/sword-shield/icon/surskit.png,Surskit,Bug,Water,269,40,30,32,50,52,65
284,https://img.pokemondb.net/sprites/sword-shield/icon/masquerain.png,Masquerain,Bug,Flying,454,70,60,62,100,82,80
285,https://img.pokemondb.net/sprites/sword-shield/icon/shroomish.png,Shroomish,Grass,,295,60,40,60,40,60,35
286,https://img.pokemondb.net/sprites/sword-shield/icon/breloom.png,Breloom,Grass,Fighting,460,60,130,80,60,60,70
287,https://img.pokemondb.net/sprites/sword-shield/icon/slakoth.png,Slakoth,Normal,,280,60,60,60,35,35,30
288,https://img.pokemondb.net/sprites/sword-shield/icon/vigoroth.png,Vigoroth,Normal,,440,80,80,80,55,55,90
289,https://img.pokemondb.net/sprites/sword-shield/icon/slaking.png,Slaking,Normal,,670,150,160,100,95,65,100
290,https://img.pokemondb.net/sprites/sword-shield/icon/nincada.png,Nincada,Bug,Ground,266,31,45,90,30,30,40
291,https://img.pokemondb.net/sprites/sword-shield/icon/ninjask.png,Ninjask,Bug,Flying,456,61,90,45,50,50,160
292,https://img.pokemondb.net/sprites/sword-shield/icon/shedinja.png,Shedinja,Bug,Ghost,236,1,90,45,30,30,40
293,https://img.pokemondb.net/sprites/sword-shield/icon/whismur.png,Whismur,Normal,,240,64,51,23,51,23,28
294,https://img.pokemondb.net/sprites/sword-shield/icon/loudred.png,Loudred,Normal,,360,84,71,43,71,43,48
295,https://img.pokemondb.net/sprites/sword-shield/icon/exploud.png,Exploud,Normal,,490,104,91,63,91,73,68
296,https://img.pokemondb.net/sprites/sword-shield/icon/makuhita.png,Makuhita,Fighting,,237,72,60,30,20,30,25
297,https://img.pokemondb.net/sprites/sword-shield/icon/hariyama.png,Hariyama,Fighting,,474,144,120,60,40,60,50
298,https://img.pokemondb.net/sprites/sword-shield/icon/azurill.png,Azurill,Normal,Fairy,190,50,20,40,20,40,20
299,https://img.pokemondb.net/sprites/sword-shield/icon/nosepass.png,Nosepass,Rock,,375,30,45,135,45,90,30
300,https://img.pokemondb.net/sprites/sword-shield/icon/skitty.png,Skitty,Normal,,260,50,45,45,35,35,50
301,https://img.pokemondb.net/sprites/sword-shield/icon/delcatty.png,Delcatty,Normal,,400,70,65,65,55,55,90
302,https://img.pokemondb.net/sprites/sword-shield/icon/sableye.png,Sableye,Dark,Ghost,380,50,75,75,65,65,50
