Num,Image url,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
019,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,Rattata,Dark,Normal,253,30,56,35,25,35,72
020,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,Raticate,Dark,Normal,413,75,71,70,40,80,77
025,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,Pikachu,Electric,,430,45,80,50,75,60,120
026,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,Raichu,Electric,Psychic,485,60,85,50,95,85,110
027,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,Sandshrew,Ice,Steel,300,50,75,90,10,35,40
028,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,Sandslash,Ice,Steel,450,75,100,120,25,65,65
037,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,Vulpix,Ice,,299,38,41,40,50,65,65
038,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,Ninetales,Ice,Fairy,505,73,67,75,81,100,109
050,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,Diglett,Ground,Steel,265,10,55,30,35,45,90
051,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,Dugtrio,Ground,Steel,425,35,100,60,50,70,110
052,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,Meowth,Dark,,290,40,35,35,50,40,90
053,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,Persian,Dark,,440,65,60,60,75,65,115
074,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,Geodude,Rock,Electric,300,40,80,100,30,30,20
075,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,Graveler,Rock,Electric,390,55,95,115,45,45,35
076,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,Golem,Rock,Electric,495,80,120,130,55,65,45
088,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png,Grimer,Poison,Dark,325,80,80,50,40,50,25
089,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png,Muk,Poison,Dark,500,105,105,75,65,100,50
103,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png,Exeggutor,Grass,Dragon,530,95,105,85,125,75,45
105,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png,Marowak,Fire,Ghost,425,60,80,110,50,80,45
133,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png,Eevee,Normal,,435,65,75,70,65,85,75
658,https://img.pokemondb.net/sprites/sword-shield/icon/greninja-ash.png,Greninja,Water,Dark,640,72,145,67,153,71,132
718,https://img.pokemondb.net/sprites/sword-shield/icon/zygarde-10.png,Zygarde,Dragon,Ground,486,54,100,71,61,85,115
718,https://img.pokemondb.net/sprites/sword-shield/icon/zygarde-complete.png,Zygarde,Dragon,Ground,708,216,100,121,91,95,85
722,https://img.pokemondb.net/sprites/sword-shield/icon/rowlet.png,Rowlet,Grass,Flying,320,68,55,55,50,50,42
723,https://img.pokemondb.net/sprites/sword-shield/icon/dartrix.png,Dartrix,Grass,Flying,420,78,75,75,70,70,52
724,https://img.pokemondb.net/sprites/sword-shield/icon/decidueye.png,Decidueye,Grass,Ghost,530,78,107,75,100,100,70
725,https://img.pokemondb.net/sprites/sword-shield/icon/litten.png,Litten,Fire,,320,45,65,40,60,40,70
