Num,Image url,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
003,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,Venusaur,Grass,Poison,625,80,100,123,122,120,80
006,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,Charizard,Fire,Dragon,634,78,130,111,130,85,100
006,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,Charizard,Fire,Flying,634,78,104,78,159,115,100
009,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,Blastoise,Water,,630,79,103,120,135,115,78
015,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,Beedrill,Bug,Poison,495,65,150,40,15,80,145
018,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,Pidgeot,Normal,Flying,579,83,80,80,135,80,121
065,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,Alakazam,Psychic,,600,55,50,65,175,105,150
080,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,Slowbro,Water,Psychic,590,95,75,180,130,80,30
094,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png,Gengar,Ghost,Poison,600,60,65,80,170,95,130
115,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png,Kangaskhan,Normal,,590,105,125,100,60,100,100
127,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png,Pinsir,Bug,Flying,600,65,155,120,65,90,105
130,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png,Gyarados,Water,Dark,640,95,155,109,70,130,81
142,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png,Aerodactyl,Rock,Flying,615,80,135,85,70,95,150
150,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png,Mewtwo,Psychic,Fighting,780,106,190,100,154,100,130
150,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png,Mewtwo,Psychic,,780,106,150,70,194,120,140
181,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png,Ampharos,Electric,Dragon,610,90,95,105,165,110,45
