Num,Image url,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
001,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45
002,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,Ivysaur,Grass,Poison,405,60,62,63,80,80,60
003,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,Venusaur,Grass,Poison,525,80,82,83,100,100,80
004,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,Charmander,Fire,,309,39,52,43,60,50,65
005,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,Charmeleon,Fire,,405,58,64,58,80,65,80
006,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,Charizard,Fire,Flying,534,78,84,78,109,85,100
007,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,Squirtle,Water,,314,44,48,65,50,64,43
008,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,Wartortle,Water,,405,59,63,80,65,80,58
009,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,Blastoise,Water,,530,79,83,100,85,105,78
010,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,Caterpie,Bug,,195,45,30,35,20,20,45
011,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,Metapod,Bug,,205,50,20,55,25,25,30
012,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,Butterfree,Bug,Flying,395,60,45,50,90,80,70
013,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,Weedle,Bug,Poison,195,40,35,30,20,20,50
014,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,Kakuna,Bug,Poison,205,45,25,50,25,25,35
015,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,Beedrill,Bug,Poison,395,65,90,40,45,80,75
016,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,Pidgey,Normal,Flying,251,40,45,40,35,35,56
017,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71
018,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,Pidgeot,Normal,Flying,479,83,80,75,70,70,101
019,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,Rattata,Normal,,253,30,56,35,25,35,72
020,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,Raticate,Normal,,413,55,81,60,50,70,97
021,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,Spearow,Normal,Flying,262,40,60,30,31,31,70
022,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,Fearow,Normal,Flying,442,65,90,65,61,61,100
023,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,Ekans,Poison,,288,35,60,44,40,54,55
