Num,Image url,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
052,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,Meowth,Steel,,290,50,65,55,40,40,40
077,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,Ponyta,Psychic,,410,50,85,55,65,65,90
078,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,Rapidash,Psychic,Fairy,500,65,100,70,80,80,105
079,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png,Slowpoke,Psychic,,315,90,65,65,40,40,15
080,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png,Slowbro,Poison,Psychic,490,95,100,95,100,70,30
083,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,Farfetch'd,Fighting,,377,52,95,55,58,62,55
110,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png,Weezing,Poison,Fairy,490,65,90,120,85,70,60
122,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png,Mr. Mime,Ice,Psychic,460,50,65,65,90,90,100
144,https://img.pokemondb.net/sprites/sword-shield/icon/articuno-galarian.png,Articuno,Psychic,Flying,580,90,85,85,125,100,95
145,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos-galarian.png,Zapdos,Fighting,Flying,580,90,125,90,85,90,100
146,https://img.pokemondb.net/sprites/sword-shield/icon/moltres-galarian.png,Moltres,Dark,Flying,580,90,85,90,100,125,90
199,https://img.pokemondb.net/sprites/sword-shield/icon/slowking-galarian.png,Slowking,Poison,Psychic,490,95,65,80,110,110,30
222,https://img.pokemondb.net/sprites/sword-shield/icon/corsola-galarian.png,Corsola,Ghost,,410,60,55,100,65,100,30
263,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon-galarian.png,Zigzagoon,Dark,Normal,240,38,30,41,30,41,60
264,https://img.pokemondb.net/sprites/sword-shield/icon/linoone-galarian.png,Linoone,Dark,Normal,420,78,70,61,50,61,100
554,https://img.pokemondb.net/sprites/sword-shield/icon/darumaka-galarian.png,Darumaka,Ice,,315,70,90,45,15,45,50
555,https://img.pokemondb.net/sprites/sword-shield/icon/darmanitan-galarian-standard.png,Darmanitan,Ice,,480,105,140,55,30,55,95
555,https://img.pokemondb.net/sprites/sword-shield/icon/darmanitan-galarian-zen.png,Darmanitan,Ice,Fire,540,105,160,55,30,55,135
562,https://img.pokemondb.net/sprites/sword-shield/icon/yamask-galarian.png,Yamask,Ground,Ghost,303,38,55,85,30,65,30
618,https://img.pokemondb.net/sprites/sword-shield/icon/stunfisk-galarian.png,Stunfisk,Ground,Steel,471,109,81,99,66,84,32
810,https://img.pokemondb.net/sprites/sword-shield/icon/grookey.png,Grookey,Grass,,310,50,65,50,40,40,65
811,https://img.pokemondb.net/sprites/sword-shield/icon/thwackey.png,Thwackey,Grass,,420,70,85,70,55,60,80
812,https://img.pokemondb.net/sprites/sword-shield/icon/rillaboom.png,Rillaboom,Grass,,530,100,125,90,60,70,85
813,https://img.pokemondb.net/sprites/sword-shield/icon/scorbunny.png,Scorbunny,Fire,,310,50,71,40,40,40,69
814,https://img.pokemondb.net/sprites/sword-shield/icon/raboot.png,Raboot,Fire,,420,65,86,60,55,60,94
815,https://img.pokemondb.net/sprites/sword-shield/icon/cinderace.png,Cinderace,Fire,,530,80,116,75,65,75,119
816,https://img.pokemondb.net/sprites/sword-shield/icon/sobble.png,Sobble,Water,,310,50,40,40,70,40,70
817,https://img.pokemondb.net/sprites/sword-shield/icon/drizzile.png,Drizzile,Water,,420,65,60,55,95,55,90
818,https://img.pokemondb.net/sprites/sword-shield/icon/inteleon.png,Inteleon,Water,,530,70,85,65,125,65,120
819,https://img.pokemondb.net/sprites/sword-shield/icon/skwovet.png,Skwovet,Normal,,275,70,55,55,35,35,25
820,https://img.pokemondb.net/sprites/sword-shield/icon/greedent.png,Greedent,Normal,,460,120,95,95,55,75,20
821,https://img.pokemondb.net/sprites/sword-shield/icon/rookidee.png,Rookidee,Flying,,245,38,47,35,33,35,57
822,https://img.pokemondb.net/sprites/sword-shield/icon/corvisquire.png,Corvisquire,Flying,,365,68,67,55,43,55,77
823,https://img.pokemondb.net/sprites/sword-shield/icon/corviknight.png,Corviknight,Flying,Steel,495,98,87,105,53,85,67
824,https://img.pokemondb.net/sprites/sword-shield/icon/blipbug.png,Blipbug,Bug,,180,25,20,20,25,45,45
825,https://img.pokemondb.net/sprites/sword-shield/icon/dottler.png,Dottler,Bug,Psychic,335,50,35,80,50,90,30
826,https://img.pokemondb.net/sprites/sword-shield/icon/orbeetle.png,Orbeetle,Bug,Psychic,505,60,45,110,80,120,90
827,https://img.pokemondb.net/sprites/sword-shield/icon/nickit.png,Nickit,Dark,,245,40,28,28,47,52,50
828,https://img.pokemondb.net/sprites/sword-shield/icon/thievul.png,Thievul,Dark,,455,70,58,58,87,92,90
829,https://img.pokemondb.net/sprites/sword-shield/icon/gossifleur.png,Gossifleur,Grass,,250,40,40,60,40,60,10
830,https://img.pokemondb.net/sprites/sword-shield/icon/eldegoss.png,Eldegoss,Grass,,460,60,50,90,80,120,60
831,https://img.pokemondb.net/sprites/sword-shield/icon/wooloo.png,Wooloo,Normal,,270,42,40,55,40,45,48
832,https://img.pokemondb.net/sprites/sword-shield/icon/dubwool.png,Dubwool,Normal,,490,72,80,100,60,90,88
833,https://img.pokemondb.net/sprites/sword-shield/icon/chewtle.png,Chewtle,Water,,284,50,64,50,38,38,44
834,https://img.pokemondb.net/sprites/sword-shield/icon/drednaw.png,Drednaw,Water,Rock,485,90,115,90,48,68,74
835,https://img.pokemondb.net/sprites/sword-shield/icon/yamper.png,Yamper,Electric,,270,59,45,50,40,50,26
836,https://img.pokemondb.net/sprites/sword-shield/icon/boltund.png,Boltund,Electric,,490,69,90,60,90,60,121
837,https://img.pokemondb.net/sprites/sword-shield/icon/rolycoly.png,Rolycoly,Rock,,240,30,40,50,40,50,30
838,https://img.pokemondb.net/sprites/sword-shield/icon/carkol.png,Carkol,Rock,Fire,410,80,60,90,60,70,50
839,https://img.pokemondb.net/sprites/sword-shield/icon/coalossal.png,Coalossal,Rock,Fire,510,110,80,120,80,90,30
840,https://img.pokemondb.net/sprites/sword-shield/icon/applin.png,Applin,Grass,Dragon,260,40,40,80,40,40,20
841,https://img.pokemondb.net/sprites/sword-shield/icon/flapple.png,Flapple,Grass,Dragon,485,70,110,80,95,60,70
842,https://img.pokemondb.net/sprites/sword-shield/icon/appletun.png,Appletun,Grass,Dragon,485,110,85,80,100,80,30
843,https://img.pokemondb.net/sprites/sword-shield/icon/silicobra.png,Silicobra,Ground,,315,52,57,75,35,50,46
844,https://img.pokemondb.net/sprites/sword-shield/icon/sandaconda.png,Sandaconda,Ground,,510,72,107,125,65,70,71
845,https://img.pokemondb.net/sprites/sword-shield/icon/cramorant.png,Cramorant,Flying,Water,475,70,85,55,85,95,85
846,https://img.pokemondb.net/sprites/sword-shield/icon/arrokuda.png,Arrokuda,Water,,280,41,63,40,40,30,66
847,https://img.pokemondb.net/sprites/sword-shield/icon/barraskewda.png,Barraskewda,Water,,490,61,123,60,60,50,136
848,https://img.pokemondb.net/sprites/sword-shield/icon/toxel.png,Toxel,Electric,Poison,242,40,38,35,54,35,40
849,https://img.pokemondb.net/sprites/sword-shield/icon/toxtricity-low-key.png,Toxtricity,Electric,Poison,502,75,98,70,114,70,75
849,https://img.pokemondb.net/sprites/sword-shield/icon/toxtricity-amped.png,Toxtricity,Electric,Poison,502,75,98,70,114,70,75
850,https://img.pokemondb.net/sprites/sword-shield/icon/sizzlipede.png,Sizzlipede,Fire,Bug,305,50,65,45,50,50,45
851,https://img.pokemondb.net/sprites/sword-shield/icon/centiskorch.png,Centiskorch,Fire,Bug,525,100,115,65,90,90,65
852,https://img.pokemondb.net/sprites/sword-shield/icon/clobbopus.png,Clobbopus,Fighting,,310,50,68,60,50,50,32
853,https://img.pokemondb.net/sprites/sword-shield/icon/grapploct.png,Grapploct,Fighting,,480,80,118,90,70,80,42
854,https://img.pokemondb.net/sprites/sword-shield/icon/sinistea.png,Sinistea,Ghost,,308,40,45,45,74,54,50
855,https://img.pokemondb.net/sprites/sword-shield/icon/polteageist.png,Polteageist,Ghost,,508,60,65,65,134,114,70
856,https://img.pokemondb.net/sprites/sword-shield/icon/hatenna.png,Hatenna,Psychic,,265,42,30,45,56,53,39
857,https://img.pokemondb.net/sprites/sword-shield/icon/hattrem.png,Hattrem,Psychic,,370,57,40,65,86,73,49
858,https://img.pokemondb.net/sprites/sword-shield/icon/hatterene.png,Hatterene,Psychic,Fairy,510,57,90,95,136,103,29
859,https://img.pokemondb.net/sprites/sword-shield/icon/impidimp.png,Impidimp,Dark,Fairy,265,45,45,30,55,40,50
860,https://img.pokemondb.net/sprites/sword-shield/icon/morgrem.png,Morgrem,Dark,Fairy,370,65,60,45,75,55,70
861,https://img.pokemondb.net/sprites/sword-shield/icon/grimmsnarl.png,Grimmsnarl,Dark,Fairy,510,95,120,65,95,75,60
862,https://img.pokemondb.net/sprites/sword-shield/icon/obstagoon.png,Obstagoon,Dark,Normal,520,93,90,101,60,81,95
863,https://img.pokemondb.net/sprites/sword-shield/icon/perrserker.png,Perrserker,Steel,,440,70,110,100,50,60,50
864,https://img.pokemondb.net/sprites/sword-shield/icon/cursola.png,Cursola,Ghost,,510,60,95,50,145,130,30
865,https://img.pokemondb.net/sprites/sword-shield/icon/sirfetchd.png,Sirfetch'd,Fighting,,507,62,135,95,68,82,65
866,https://img.pokemondb.net/sprites/sword-shield/icon/mr-rime.png,Mr. Rime,Ice,Psychic,520,80,85,75,110,100,70
867,https://img.pokemondb.net/sprites/sword-shield/icon/runerigus.png,Runerigus,Ground,Ghost,483,58,95,145,50,105,30
868,https://img.pokemondb.net/sprites/sword-shield/icon/milcery.png,Milcery,Fairy,,270,45,40,40,50,61,34
869,https://img.pokemondb.net/sprites/sword-shield/icon/alcremie.png,Alcremie,Fairy,,495,65,60,75,110,121,64
870,https://img.pokemondb.net/sprites/sword-shield/icon/falinks.png,Falinks,Fighting,,470,65,100,100,70,60,75
871,https://img.pokemondb.net/sprites/sword-shield/icon/pincurchin.png,Pincurchin,Electric,,435,48,101,95,91,85,15
872,https://img.pokemondb.net/sprites/sword-shield/icon/snom.png,Snom,Ice,Bug,185,30,25,35,45,30,20
873,https://img.pokemondb.net/sprites/sword-shield/icon/frosmoth.png,Frosmoth,Ice,Bug,475,70,65,60,125,90,65
874,https://img.pokemondb.net/sprites/sword-shield/icon/stonjourner.png,Stonjourner,Rock,,470,100,125,135,20,20,70
875,https://img.pokemondb.net/sprites/sword-shield/icon/eiscue-ice.png,Eiscue,Ice,,470,75,80,110,65,90,50
875,https://img.pokemondb.net/sprites/sword-shield/icon/eiscue-noice.png,Eiscue,Ice,,470,75,80,70,65,50,130
876,https://img.pokemondb.net/sprites/sword-shield/icon/indeedee-male.png,Indeedee,Psychic,Normal,475,60,65,55,105,95,95
876,https://img.pokemondb.net/sprites/sword-shield/icon/indeedee-female.png,Indeedee,Psychic,Normal,475,70,55,65,95,105,85
877,https://img.pokemondb.net/sprites/sword-shield/icon/morpeko-full-belly.png,Morpeko,Electric,Dark,436,58,95,58,70,58,97
877,https://img.pokemondb.net/sprites/sword-shield/icon/morpeko-hangry.png,Morpeko,Electric,Dark,436,58,95,58,70,58,97
878,https://img.pokemondb.net/sprites/sword-shield/icon/cufant.png,Cufant,Steel,,330,72,80,49,40,49,40
879,https://img.pokemondb.net/sprites/sword-shield/icon/copperajah.png,Copperajah,Steel,,500,122,130,69,80,69,30
880,https://img.pokemondb.net/sprites/sword-shield/icon/dracozolt.png,Dracozolt,Electric,Dragon,505,90,100,90,80,70,75
881,https://img.pokemondb.net/sprites/sword-shield/icon/arctozolt.png,Arctozolt,Electric,Ice,505,90,100,90,90,80,55
882,https://img.pokemondb.net/sprites/sword-shield/icon/dracovish.png,Dracovish,Water,Dragon,505,90,90,100,70,80,75
883,https://img.pokemondb.net/sprites/sword-shield/icon/arctovish.png,Arctovish,Water,Ice,505,90,90,100,80,90,55
884,https://img.pokemondb.net/sprites/sword-shield/icon/duraludon.png,Duraludon,Steel,Dragon,535,70,95,115,120,50,85
885,https://img.pokemondb.net/sprites/sword-shield/icon/dreepy.png,Dreepy,Dragon,Ghost,270,28,60,30,40,30,82
886,https://img.pokemondb.net/sprites/sword-shield/icon/drakloak.png,Drakloak,Dragon,Ghost,410,68,80,50,60,50,102
887,https://img.pokemondb.net/sprites/sword-shield/icon/dragapult.png,Dragapult,Dragon,Ghost,600,88,120,75,100,75,142
888,https://img.pokemondb.net/sprites/sword-shield/icon/zacian-crowned.png,Zacian,Fairy,Steel,720,92,170,115,80,115,148
888,https://img.pokemondb.net/sprites/sword-shield/icon/zacian-hero.png,Zacian,Fairy,,670,92,130,115,80,115,138
889,https://img.pokemondb.net/sprites/sword-shield/icon/zamazenta-crowned.png,Zamazenta,Fighting,Steel,720,92,130,145,80,145,128
889,https://img.pokemondb.net/sprites/sword-shield/icon/zamazenta-hero.png,Zamazenta,Fighting,,670,92,130,115,80,115,138
890,https://img.pokemondb.net/sprites/sword-shield/icon/eternatus.png,Eternatus,Poison,Dragon,690,140,85,95,145,95,130
890,https://img.pokemondb.net/sprites/sword-shield/icon/eternatus-eternamax.png,Eternatus,Poison,Dragon,1125,255,115,250,125,250,130
891,https://img.pokemondb.net/sprites/sword-shield/icon/kubfu.png,Kubfu,Fighting,,385,60,90,60,53,50,72
892,https://img.pokemondb.net/sprites/sword-shield/icon/urshifu-single-strike.png,Urshifu,Fighting,Dark,550,100,130,100,63,60,97
892,https://img.pokemondb.net/sprites/sword-shield/icon/urshifu-rapid-strike.png,Urshifu,Fighting,Water,550,100,130,100,63,60,97
893,https://img.pokemondb.net/sprites/sword-shield/icon/zarude.png,Zarude,Dark,Grass,600,105,120,105,70,95,105
894,https://img.pokemondb.net/sprites/sword-shield/icon/regieleki.png,Regieleki,Electric,,580,80,100,50,100,50,200
895,https://img.pokemondb.net/sprites/sword-shield/icon/regidrago.png,Regidrago,Dragon,,580,200,100,50,100,50,80
896,https://img.pokemondb.net/sprites/sword-shield/icon/glastrier.png,Glastrier,Ice,,580,100,145,130,65,110,30
897,https://img.pokemondb.net/sprites/sword-shield/icon/spectrier.png,Spectrier,Ghost,,580,100,65,60,145,80,130
898,https://img.pokemondb.net/sprites/sword-shield/icon/calyrex.png,Calyrex,Psychic,Grass,500,100,80,80,80,80,80
898,https://img.pokemondb.net/sprites/sword-shield/icon/calyrex-ice-rider.png,Calyrex,Psychic,Ice,680,100,165,150,85,130,50
898,https://img.pokemondb.net/sprites/sword-shield/icon/calyrex-shadow-rider.png,Calyrex,Psychic,Ghost,680,100,85,80,165,100,150
